timestamp,event,key_type
2026-08-10T09:32:08.617,release,character
2026-08-10T09:32:08.661,press,character
2026-08-10T09:32:08.791,release,character
2026-08-10T09:32:08.809,press,special
2026-08-10T09:32:08.887,release,special
2026-08-10T09:32:09.187,press,character
2026-08-10T09:32:09.305,release,character
2026-08-10T09:32:09.375,press,special
2026-08-10T09:32:09.477,release,special
2026-08-10T09:32:09.647,press,character
2026-08-10T09:32:09.772,release,character
2026-08-10T09:32:09.842,press,character
2026-08-10T09:32:09.937,release,character
2026-08-10T09:32:10.035,press,character
2026-08-10T09:32:10.125,release,character
2026-08-10T09:32:10.243,press,special
2026-08-10T09:32:10.318,release,special
2026-08-10T09:32:10.891,press,special
2026-08-10T09:32:10.949,release,special
2026-08-10T09:32:11.659,press,special
2026-08-10T09:32:11.757,release,special
2026-08-10T09:32:11.857,press,character
2026-08-10T09:32:12.015,release,character
2026-08-10T09:32:12.096,press,character
2026-08-10T09:32:12.177,release,character
2026-08-10T09:32:12.261,press,character
2026-08-10T09:32:12.371,press,special
2026-08-10T09:32:12.403,release,character
2026-08-10T09:32:12.454,release,special
2026-08-10T09:32:12.632,press,character
2026-08-10T09:32:12.697,release,character
2026-08-10T09:32:12.831,press,character
2026-08-10T09:32:12.931,release,character
2026-08-10T09:32:12.947,press,character
2026-08-10T09:32:13.073,release,character
2026-08-10T09:32:13.152,press,character
2026-08-10T09:32:13.233,release,character
2026-08-10T09:32:13.318,press,special
2026-08-10T09:32:13.392,release,special
2026-08-10T09:32:13.923,press,character
2026-08-10T09:32:14.053,release,character
2026-08-10T09:32:14.167,press,character
2026-08-10T09:32:14.282,release,character
2026-08-10T09:32:14.378,press,character
2026-08-10T09:32:14.450,release,character
2026-08-10T09:32:14.521,press,character
2026-08-10T09:32:14.613,release,character
2026-08-10T09:32:14.761,press,special
2026-08-10T09:32:14.875,release,special
2026-08-10T09:32:15.196,press,character
2026-08-10T09:32:15.321,release,character
2026-08-10T09:32:15.796,press,character
2026-08-10T09:32:15.947,release,character
2026-08-10T09:32:15.953,press,character
2026-08-10T09:32:16.077,release,character
2026-08-10T09:32:16.139,press,character
2026-08-10T09:32:16.257,release,character
2026-08-10T09:32:16.528,press,character
2026-08-10T09:32:16.624,release,character
2026-08-10T09:32:16.909,press,special
2026-08-10T09:32:16.961,release,special
2026-08-10T09:32:39.585,press,character
2026-08-10T09:32:39.644,release,character
2026-08-10T09:32:39.690,press,character
2026-08-10T09:32:39.796,release,character
2026-08-10T09:32:39.940,press,special
2026-08-10T09:32:40.090,release,special
2026-08-10T09:32:40.248,press,character
2026-08-10T09:32:40.339,release,character
2026-08-10T09:32:40.616,press,character
2026-08-10T09:32:40.680,release,character
2026-08-10T09:32:40.779,press,character
2026-08-10T09:32:40.842,release,character
2026-08-10T09:32:40.954,press,special
2026-08-10T09:32:41.042,release,special
2026-08-10T09:32:42.782,press,character
2026-08-10T09:32:42.858,release,character
2026-08-10T09:32:42.978,press,character
2026-08-10T09:32:43.151,release,character
2026-08-10T09:32:43.179,press,character
2026-08-10T09:32:43.310,release,character
2026-08-10T09:32:43.475,press,character
2026-08-10T09:32:43.539,release,character
2026-08-10T09:32:43.655,press,character
2026-08-10T09:32:43.761,release,character
2026-08-10T09:32:43.814,press,special
2026-08-10T09:32:43.906,release,special
2026-08-10T09:32:44.053,press,character
2026-08-10T09:32:44.179,release,character
2026-08-10T09:32:44.395,press,character
2026-08-10T09:32:44.484,release,character
2026-08-10T09:32:44.713,press,character
2026-08-10T09:32:44.826,release,character
2026-08-10T09:32:44.878,press,character
2026-08-10T09:32:45.014,release,character
2026-08-10T09:32:45.022,press,character
2026-08-10T09:32:45.126,release,character
2026-08-10T09:32:45.270,press,special
2026-08-10T09:32:45.380,release,special
2026-08-10T09:32:46.143,press,character
2026-08-10T09:32:46.243,release,character
2026-08-10T09:32:46.385,press,character
2026-08-10T09:32:46.480,release,character
2026-08-10T09:32:46.639,press,character
2026-08-10T09:32:46.772,press,special
2026-08-10T09:32:46.779,release,character
2026-08-10T09:32:46.848,release,special
2026-08-10T09:32:47.070,press,character
2026-08-10T09:32:47.185,release,character
2026-08-10T09:32:47.258,press,character
2026-08-10T09:32:47.354,release,character
2026-08-10T09:32:47.372,press,character
2026-08-10T09:32:47.521,release,character
2026-08-10T09:32:47.886,press,special
2026-08-10T09:32:47.936,release,special
2026-08-10T09:33:02.164,press,character
2026-08-10T09:33:02.199,press,character
2026-08-10T09:33:02.215,release,character
2026-08-10T09:33:02.335,release,character
2026-08-10T09:33:02.543,press,character
2026-08-10T09:33:02.697,release,character
2026-08-10T09:33:02.739,press,character
2026-08-10T09:33:02.847,release,character
2026-08-10T09:33:03.453,press,character
2026-08-10T09:33:03.573,release,character
2026-08-10T09:33:03.583,press,character
2026-08-10T09:33:03.691,press,special
2026-08-10T09:33:03.721,release,character
2026-08-10T09:33:03.797,release,special
2026-08-10T09:33:04.269,press,character
2026-08-10T09:33:04.369,release,character
2026-08-10T09:33:04.433,press,special
2026-08-10T09:33:04.534,release,special
2026-08-10T09:33:05.688,press,character
2026-08-10T09:33:05.819,release,character
2026-08-10T09:33:05.905,press,character
2026-08-10T09:33:05.965,release,character
2026-08-10T09:33:06.435,press,character
2026-08-10T09:33:06.527,release,character
2026-08-10T09:33:06.611,press,character
2026-08-10T09:33:06.731,release,character
2026-08-10T09:33:07.284,press,special
2026-08-10T09:33:07.383,release,special
2026-08-10T09:33:07.481,press,special
2026-08-10T09:33:07.547,release,special
2026-08-10T09:33:07.643,press,special
2026-08-10T09:33:07.712,release,special
2026-08-10T09:33:07.803,press,special
2026-08-10T09:33:07.865,release,special
2026-08-10T09:33:08.323,press,character
2026-08-10T09:33:08.434,release,character
2026-08-10T09:33:08.592,press,character
2026-08-10T09:33:08.654,release,character
2026-08-10T09:33:08.999,press,character
2026-08-10T09:33:09.083,release,character
2026-08-10T09:33:09.142,press,character
2026-08-10T09:33:09.233,release,character
2026-08-10T09:33:09.347,press,special
2026-08-10T09:33:09.447,release,special
2026-08-10T09:33:13.830,press,character
2026-08-10T09:33:13.908,release,character
2026-08-10T09:33:14.023,press,character
2026-08-10T09:33:14.156,release,character
2026-08-10T09:33:14.176,press,character
2026-08-10T09:33:14.281,press,special
2026-08-10T09:33:14.319,release,character
2026-08-10T09:33:14.380,release,special
2026-08-10T09:33:25.795,press,special
2026-08-10T09:33:25.819,release,special
2026-08-10T09:33:25.914,press,special
2026-08-10T09:33:25.999,release,special
2026-08-10T09:33:26.089,press,special
2026-08-10T09:33:26.170,release,special
2026-08-10T09:33:26.393,press,special
2026-08-10T09:33:26.495,release,special
2026-08-10T09:33:26.800,press,character
2026-08-10T09:33:26.900,release,character
2026-08-10T09:33:27.040,press,character
2026-08-10T09:33:27.182,release,character
2026-08-10T09:33:27.192,press,special
2026-08-10T09:33:27.290,release,special
2026-08-10T09:33:27.518,press,character
2026-08-10T09:33:27.646,release,character
2026-08-10T09:33:27.678,press,character
2026-08-10T09:33:27.798,release,character
2026-08-10T09:33:28.107,press,character
2026-08-10T09:33:28.202,release,character
2026-08-10T09:33:29.048,press,character
2026-08-10T09:33:29.157,release,character
2026-08-10T09:33:29.176,press,character
2026-08-10T09:33:29.262,release,character
2026-08-10T09:33:29.390,press,character
2026-08-10T09:33:29.502,release,character
2026-08-10T09:33:29.592,press,character
2026-08-10T09:33:29.686,release,character
2026-08-10T09:33:29.888,press,character
2026-08-10T09:33:30.062,release,character
2026-08-10T09:33:30.150,press,special
2026-08-10T09:33:30.373,press,character
2026-08-10T09:33:30.494,release,character
2026-08-10T09:33:30.606,press,character
2026-08-10T09:33:30.677,release,character
2026-08-10T09:33:30.714,release,special
2026-08-10T09:33:30.998,press,special
2026-08-10T09:33:31.062,release,special
2026-08-10T09:33:36.842,press,character
2026-08-10T09:33:36.844,release,character
2026-08-10T09:33:36.957,press,character
2026-08-10T09:33:37.044,release,character
2026-08-10T09:33:37.406,press,special
2026-08-10T09:33:37.510,release,special
2026-08-10T09:33:37.731,press,character
2026-08-10T09:33:37.825,release,character
2026-08-10T09:33:37.948,press,character
2026-08-10T09:33:38.045,release,character
