key_id,press_time,release_time,hold_time_ms
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,28048.087,28163.539,115.45200000000114
2014880db646d4162ebc36eb5855c9107983238de62481f26bb5a0942fdfdc4c,28321.341,28471.138,149.79699999999866
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,28701.32,28801.933,100.6130000000012
b8330213047c7e85d79510cb4d7d9dc4defbcf487bbfb227bc96a2a53af45572,28815.044,28947.689,132.6449999999968
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,28973.039,29069.265,96.22599999999875
ae2faa8f7b0ce4378083c8c430cfa37375e90b606533102a4d1ae59a0ace5ab8,29431.305,29525.376,94.07099999999991
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,29885.671,30007.294,121.62300000000323
09787ed3fcec1c9b8ac6acb5de3f1f9fc76fc351ce37393265b3f8d781276165,30139.303,30225.111,85.8080000000009
5f8f53e65737690c04bddb4408b63fe0ad41c34fb2db7d1f6935feb3308e9787,30503.63,30593.577,89.94700000000012
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,30928.311,31035.738,107.42699999999968
1c38485e295dfe971f373a477c4f4e51d5bf5099ae0cb20d13da43c410cab47c,31057.33,31225.292,167.96199999999953
b8330213047c7e85d79510cb4d7d9dc4defbcf487bbfb227bc96a2a53af45572,31429.752,31547.386,117.6339999999982
a6f06fde7d842e34a637175d250e758537a9959c30d79714f634eeb938ad555f,31711.365,31867.358,155.99299999999857
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,32065.278,32191.212,125.9340000000011
96f85aeb125c3ed1a810ac1845fcedd6a877c10f972593c1bdb8f14fd1c93394,32656.383,32735.322,78.93899999999849
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,32881.329,32946.371,65.04200000000128
f223596fa1f386737d78b7ac2fd7e18f3a38d286beee03de8d2319a7170b28fa,33321.63,33391.566,69.93600000000151
f223596fa1f386737d78b7ac2fd7e18f3a38d286beee03de8d2319a7170b28fa,33471.33,33558.354,87.02399999999761
c70344094ea28ac4b815b31e0071fc673cade1686a3426dc2cd7003f829bc6a4,33617.393,33729.288,111.89500000000407
b8330213047c7e85d79510cb4d7d9dc4defbcf487bbfb227bc96a2a53af45572,33843.531,33935.584,92.05299999999988
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,33981.316,34040.123,58.8070000000007
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,34478.522,34645.323,166.80099999999948
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,34721.743,34794.273,72.52999999999884
